NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
364	3.06	16.683	1.47	12.575	0.065	0.991	3000.0
365	3.342	18.423	1.548	13.342	0.09	0.989	3000.0
366	2.952	16.394	1.454	12.406	0.075	0.991	5000.0
367	3.624	20.314	2.024	18.004	0.096	0.98	2000.0
368	4.198	23.986	2.104	20.144	0.084	0.98	3000.0
369	3.459	18.954	1.655	14.795	0.095	0.986	7000.0
370	5.981	33.868	2.89	28.46	0.145	0.953	2000.0
371	3.387	19.786	1.775	14.862	0.102	0.987	4000.0
372	4.451	25.581	2.327	21.76	0.121	0.968	4000.0
373	4.792	26.947	2.306	21.806	0.108	0.975	5000.0
374	3.548	19.98	1.686	14.871	0.086	0.988	15000.0
375	4.015	22.826	1.937	17.91	0.084	0.984	4000.0
376	3.629	21.11	1.816	17.013	0.071	0.982	3000.0
377	3.317	18.928	1.513	13.743	0.108	0.988	2000.0
378	3.656	20.934	1.842	16.725	0.084	0.982	4000.0
379	3.699	20.762	1.667	15.517	0.087	0.988	3000.0
380	5.703	32.11	2.952	26.909	0.108	0.961	3000.0
381	4.685	26.739	2.138	20.014	0.109	0.977	4000.0
382	3.092	17.727	1.576	14.787	0.064	0.988	2000.0
383	2.97	15.975	1.374	12.69	0.078	0.989	3000.0
384	3.985	22.381	1.881	17.723	0.113	0.98	3000.0
385	3.259	17.936	1.585	14.075	0.064	0.989	4000.0
386	3.491	19.664	1.73	16.062	0.081	0.985	12000.0
387	4.988	28.037	2.348	21.944	0.138	0.975	4000.0
388	4.442	25.018	2.17	19.719	0.121	0.981	4000.0
389	4.564	25.126	2.22	20.343	0.109	0.982	3000.0
390	4.036	22.984	2.094	18.556	0.091	0.98	3000.0
391	3.639	20.594	1.832	16.714	0.083	0.989	2000.0
392	5.448	30.631	2.504	23.213	0.133	0.971	5000.0
393	2.076	11.715	0.937	8.342	0.057	0.996	18000.0
394	4.266	23.936	2.2	20.91	0.075	0.974	3000.0
395	3.236	18.33	1.531	13.533	0.073	0.991	4000.0
396	3.061	16.957	1.54	13.095	0.07	0.991	2000.0
397	4.295	24.055	2.133	19.757	0.099	0.98	4000.0
398	3.233	18.045	1.603	14.256	0.065	0.988	4000.0
399	4.229	23.263	2.14	19.366	0.074	0.981	2000.0
400	3.453	19.59	1.692	15.854	0.107	0.984	3000.0
401	3.475	20.136	1.694	16.183	0.068	0.984	5000.0
402	2.582	14.527	1.324	11.448	0.057	0.994	2000.0
403	4.122	23.755	2.055	18.826	0.108	0.978	2000.0
404	3.529	20.315	1.773	16.055	0.102	0.984	3000.0
405	3.245	18.208	1.589	14.769	0.087	0.987	3000.0
406	3.173	17.934	1.544	13.865	0.111	0.988	3000.0
407	3.454	19.465	1.707	15.462	0.085	0.983	3000.0
408	4.825	27.964	2.256	20.827	0.134	0.976	2000.0
409	3.37	19.023	1.687	14.891	0.086	0.988	2000.0
410	2.736	15.297	1.381	12.659	0.051	0.989	4000.0
411	5.22	29.836	2.532	24.795	0.105	0.958	2000.0
412	4.143	23.15	2.018	19.186	0.092	0.977	3000.0
413	3.27	18.328	1.666	15.219	0.074	0.987	3000.0
414	2.998	17.096	1.513	13.432	0.09	0.99	35000.0
415	4.752	26.252	2.129	19.456	0.12	0.979	4000.0
416	4.101	22.744	2.026	18.282	0.091	0.981	4000.0
417	4.803	27.605	2.446	23.025	0.092	0.964	3000.0
418	3.959	22.279	1.912	17.406	0.084	0.984	2000.0
419	4.429	24.985	2.188	20.317	0.082	0.98	2000.0
420	4.321	24.7	2.077	19.371	0.103	0.98	3000.0
421	3.647	20.379	1.71	15.392	0.075	0.987	3000.0
422	3.095	17.567	1.437	12.668	0.084	0.99	2000.0
423	3.085	17.164	1.501	13.089	0.062	0.992	2000.0
424	3.55	19.825	1.721	15.513	0.09	0.988	2000.0
425	5.17	29.541	2.491	23.052	0.119	0.972	2000.0
426	3.079	17.527	1.542	14.619	0.062	0.987	2000.0
427	4.074	22.742	2.087	18.556	0.091	0.984	12000.0
428	3.382	18.776	1.778	15.625	0.06	0.986	5000.0
429	3.912	21.201	1.846	16.901	0.108	0.979	8000.0
430	3.928	22.058	1.878	17.498	0.118	0.98	2000.0
431	4.608	26.329	2.178	20.967	0.115	0.976	4000.0
432	2.873	15.83	1.384	12.238	0.064	0.992	4000.0
433	5.197	30.074	2.478	23.501	0.139	0.968	2000.0
434	3.75	21.252	1.882	16.064	0.075	0.988	3000.0
435	3.261	18.064	1.686	14.58	0.071	0.989	3000.0
436	3.811	20.897	1.892	17.021	0.083	0.982	3000.0
